likes	coms	favs	size
38	8	1	1101
30	39	0	1569
24	22	0	1569
33	10	1	1860
9	17	0	403
46	68	1	6799
22	32	1	2186
26	27	1	782
21	65	0	3049
28	11	1	1645
40	88	1	2448
16	12	0	2079
3	0	0	449
47	7	0	634
28	11	1	432
53	57	1	4673
8	27	0	338
95	99	1	3728
21	62	0	2702
43	48	1	529
30	6	2	2015
11	2	0	625
16	16	0	984
25	24	1	1058
56	78	1	1798
22	11	0	1669
3	5	0	591
17	8	1	741
39	13	1	1668
72	256	6	2687
34	42	1	1580
38	40	0	941
35	49	1	5391
74	92	4	7131
59	46	1	5758
15	59	1	1470
19	37	1	1662
11	1	1	1481
11	6	0	736
34	14	0	2665
18	3	1	1275
7	29	0	685
5	0	0	684
43	34	1	2810
4	5	0	356
65	59	12	4947
32	136	2	1674
39	9	1	2398
22	13	1	3413
12	17	0	696
46	31	1	5205
30	14	1	2850
26	46	0	2568
28	1	1	943
79	113	1	2482
23	44	0	1742
14	9	0	1798
26	35	0	2768
3	2	0	406
23	18	2	2376
92	23	5	2545
40	108	1	3011
53	31	3	2513
31	19	0	1212
108	129	6	2685
14	1	0	2665
65	15	1	1429
62	21	1	3141
35	44	0	2181
32	21	0	2296
32	37	0	1000
30	9	1	1615
18	28	0	2715
33	18	1	2449
116	63	1	5171
25	14	0	1297
13	5	0	809
41	73	1	3189
41	10	8	7055
29	3	0	1785
21	23	0	2137
31	34	0	1764
39	24	1	2935
27	2	3	980
16	1	0	1521
24	5	0	2969
34	18	0	1641
21	15	1	1607
15	1	0	1836
30	50	0	1085
32	24	1	3447
28	4	1	1248
23	0	0	1351
30	22	0	2783
55	44	6	10990
35	66	1	1425
24	13	0	1074
22	16	0	971
23	9	1	2897
71	39	1	5422
33	22	1	2002
12	5	0	1654
26	32	1	1235
37	44	1	11122
109	121	8	3769
19	7	0	1341
9	4	0	455
54	12	8	5434
23	18	0	2481
14	5	1	2625
80	34	1	1686
27	24	0	2841
23	8	0	1412
32	8	1	1488
0	43	0	3870
81	62	9	7096
38	14	1	1202
42	28	1	1921
51	48	1	2175
51	25	1	1568
39	19	1	814
28	18	1	2537
26	51	0	2356
70	210	1	2100
39	20	1	3106
20	8	0	1149
47	33	1	1836
36	37	1	1225
113	39	21	5622
36	30	0	1870
21	27	0	2169
18	4	0	1151
35	12	2	1676
26	11	1	3327
30	21	0	1113
42	11	1	4782
31	26	0	1618
32	45	0	3282
57	38	1	7591
24	15	0	1258
20	14	0	1676
17	17	1	1342
12	11	0	750
77	59	1	8673
28	7	0	1123
13	30	0	1355
41	14	1	1675
46	24	1	2228
47	38	4	7403
14	3	0	2703
17	11	0	1998
25	6	0	673
20	5	0	1481
28	13	1	1366
36	47	0	2496
43	27	0	1689
44	42	1	3372
12	10	1	802
18	17	0	2119
33	13	1	1288
13	13	0	893
28	24	0	1973
14	1	0	1949
24	8	0	1822
27	8	0	2206
19	14	0	1571
26	7	0	1275
51	155	1	3011
25	9	0	1574
60	51	1	1334
28	4	0	1460
20	11	1	979
36	29	1	1807
21	11	0	883
37	5	1	2215
47	24	1	2252
41	19	0	2353
29	26	1	5207
46	21	1	6705
39	41	0	2099
30	8	1	1284
49	16	0	2116
35	115	2	5926
69	37	0	1633
15	0	0	2144
97	22	22	6367
19	3	1	2075
37	22	1	6560
17	35	0	1229
16	13	1	1998
18	21	0	1377
27	34	0	1380
40	56	1	1635
25	6	0	1438
64	187	1	3096
45	29	14	2000
45	38	1	3297
24	17	1	1455
37	18	1	2789
19	11	0	1379
66	35	1	4830
54	42	1	1363
42	40	2	2620
17	1	0	2174
38	44	1	2317
63	9	9	2717
26	12	0	2336
38	85	6	3434
23	18	1	1684
28	13	0	3417
32	9	0	1251
34	5	1	1607
26	24	0	3043
38	29	3	8220
33	7	0	3273
26	3	0	2262
32	17	0	5825
30	4	1	4452
34	14	0	6752
26	1	0	5930
29	41	0	7212
52	11	0	2674
47	24	0	1520
32	10	0	1038
43	25	0	1967
21	11	0	1715
59	27	1	5000
16	12	0	523
15	2	0	1319
33	25	1	4743
28	14	0	2390
23	4	1	1776
27	13	0	1744
18	1	0	1487
12	4	0	1901
21	14	0	2360
36	21	14	11250
28	6	0	2413
16	15	0	1047
41	25	1	1854
29	26	1	4484
54	32	1	5683
14	6	0	1272
70	53	1	2629
13	9	0	1839
22	16	1	2208
34	42	0	2396
142	68	4	3579
20	6	0	3933
30	25	1	1519
18	59	1	2828
19	0	1	1306
14	8	0	2165
43	8	24	16553
83	62	1	5759
55	24	0	2510
25	18	0	3819
50	14	1	3357
30	21	0	2403
25	3	0	936
11	4	0	617
33	19	0	2928
46	79	1	2188
41	29	0	1383
25	14	1	3206
15	6	0	993
26	6	1	2528
17	4	0	916
19	36	0	1307
75	85	1	3125
36	21	0	1640
43	30	1	1573
26	4	0	1840
22	9	0	1847
70	43	1	7425
31	18	0	1814
57	26	1	1785
23	13	1	1657
32	32	1	595
30	9	3	7159
41	29	3	6815
48	20	1	2611
62	22	0	2571
20	8	0	2192
20	11	0	1829
18	6	0	1150
51	10	4	1536
70	50	1	6383
40	20	1	1931
24	14	3	4977
36	87	1	2655
34	30	1	2515
51	41	1	2680
15	4	0	1865
29	2	0	1806
86	78	4	6002
28	4	0	3036
25	5	0	2497
105	26	1	3764
17	4	1	1257
43	30	1	2972
91	29	1	3979
59	23	1	1994
35	74	0	2344
29	7	1	1357
23	11	0	2162
33	19	1	1986
29	3	0	1662
39	7	1	2165
42	7	0	1744
18	29	0	3622
20	3	0	2844
30	23	1	3460
42	32	1	3836
8	1	0	1447
52	20	1	1917
16	2	0	1473
53	35	1	5556
16	9	1	1107
28	35	0	1284
16	0	0	1973
19	0	0	2378
87	60	1	5079
38	9	14	18869
32	9	1	2849
23	3	1	1913
17	15	0	2911
51	5	1	2357
37	21	2	1901
41	27	0	5360
15	7	0	2937
18	4	0	1802
22	6	1	4819
29	6	1	2158
28	7	1	2739
37	29	0	3749
27	13	1	2626
48	26	1	18079
19	13	0	2834
431	96	27	2448
26	4	0	2889
40	22	0	1356
28	14	1	2989
30	23	1	3051
20	5	0	2511
25	4	1	1851
74	40	1	1882
40	23	1	3369
18	3	0	1896
28	17	1	1860
114	64	1	3262
23	9	0	1837
38	11	1	6247
36	11	0	1946
23	0	1	2242
34	16	1	4335
22	22	1	1511
40	21	1	2977
32	27	2	1905
59	44	1	2296
46	40	1	3473
19	0	0	2624
75	25	1	5162
16	1	0	2747
15	12	0	2535
20	10	0	3615
26	24	0	1797
22	17	0	4032
34	16	0	2102
29	39	0	4412
63	24	3	4136
24	28	0	2674
89	105	1	8146
56	15	0	1765
23	35	0	2326
14	32	0	2874
39	21	0	2025
32	4	0	2002
56	35	0	1747
42	72	1	4886
34	20	1	4666
21	16	1	2357
28	5	0	2076
24	14	0	2057
30	7	0	1386
21	11	1	1954
36	42	0	2282
111	63	4	2705
38	4	0	2914
46	7	4	2461
25	10	1	3328
22	11	0	2925
31	23	0	1424
19	3	0	2261
17	1	0	1756
20	16	0	1846
45	37	0	2772
24	18	1	11321
45	75	2	5765
43	23	1	362
23	13	0	2275
56	23	5	3125
44	31	1	2682
37	12	1	1942
54	16	0	2807
20	4	0	1979
25	15	0	2985
14	7	0	1678
23	11	0	4301
42	82	0	3106
17	3	0	2379
18	7	0	1556
35	11	0	1640
44	22	1	5848
20	4	0	2444
18	27	0	2948
23	18	0	2770
27	72	1	6533
17	8	0	3314
33	3	0	2465
28	9	0	3426
22	9	1	2551
19	7	0	1380
24	9	0	4139
28	8	0	2414
37	10	1	2125
22	4	1	3039
93	72	1	4707
26	26	0	2943
24	12	1	2567
27	21	0	3099
21	174	0	5213
47	15	2	2530
37	33	1	2330
70	21	3	5152
27	17	1	1545
17	3	0	2569
19	12	0	2397
38	36	13	7590
34	23	1	2344
20	19	0	1541
25	5	1	2539
18	3	0	2425
37	72	0	1856
19	13	0	1731
20	2	0	1593
30	8	1	1936
46	27	1	7060
16	13	0	1351
32	18	1	1452
23	2	1	1387
15	2	0	1872
24	10	0	3061
16	5	0	1984
35	10	4	4175
42	2	1	2745
15	4	0	2532
20	6	1	2922
24	37	0	4125
58	14	1	1554
28	33	1	9161
39	9	0	3719
41	16	1	7405
37	33	0	2140
29	8	1	2703
47	2	0	1633
32	30	1	6739
38	64	0	3818
13	5	0	1642
45	22	1	2018
53	31	7	22542
24	118	0	1839
23	7	0	999
17	17	0	2324
41	28	1	1753
25	79	3	9235
55	10	1	2243
29	32	0	3088
69	97	15	19281
22	13	0	1453
28	12	0	2042
61	20	1	2724
23	14	2	3300
33	27	0	1330
53	26	2	6072
30	23	0	2228
42	89	0	1627
27	13	0	1376
31	31	0	1742
68	28	11	3302
26	37	1	5260
235	123	3	1532
16	2	0	1833
26	18	1	3654
39	39	1	5416
37	53	1	2475
75	50	1	5186
46	3	1	1522
23	33	5	4155
31	17	1	2461
18	2	1	1273
48	80	1	2483
32	20	1	1561
28	3	0	2084
53	37	4	11374
37	13	0	2701
40	30	0	6216
20	8	1	1195
12	7	1	2634
25	3	0	2505
10	2	0	1850
30	20	1	2772
26	21	0	1857
15	17	0	4201
22	6	1	2093
33	4	0	3463
29	24	1	2476
16	0	0	2357
37	18	0	1410
10	4	0	2268
34	21	1	2519
69	106	5	2344
23	3	1	3139
65	18	1	5197
27	40	0	1384
21	3	0	1969
39	8	2	4805
12	4	0	1597
47	51	5	5535
16	13	0	1731
14	4	1	3615
46	24	0	2854
12	8	1	1686
23	25	0	2565
37	56	0	3726
38	15	1	1177
17	4	1	2286
25	10	1	2778
41	18	1	5093
35	15	0	4237
29	56	1	3108
73	29	0	5713
34	11	1	3215
0	0	0	3213
0	0	0	3213
0	0	0	3213
26	23	1	2013
5	0	0	1434
69	24	0	2066
